employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9022344,Pennsylvania,Fleetwood,Full-Time,Salesforce Developer,2024-06-04T16:37:01.299-04:00,2024-12-04T09:00:00.000-05:00,2024-06-04T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9277726,,,Part-Time,Web Development Coordinator,2024-09-08T23:47:26.566-04:00,2024-12-08T06:00:00.000-05:00,2024-09-08T06:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9084469,District of Columbia,Washington,Full-Time,"Software Engineer, Internship - DC",2024-07-01T20:27:13.690-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9102172,Maryland,Rockville,Full-Time,Software Trainer,2024-07-10T12:27:42.244-04:00,2025-01-10T06:00:00.000-05:00,2024-07-10T06:00:00.000-04:00
Lica World,https://app.joinhandshake.com/jobs/9156861,California,Bay Area,Full-Time,Front End Design Engineer Intern,2024-07-31T15:02:20.289-04:00,2025-01-31T09:00:00.000-05:00,2024-07-31T09:00:00.000-04:00
Lica World,https://app.joinhandshake.com/jobs/9149754,California,Bay Area,Full-Time,Research Engineering Intern,2024-07-30T13:09:45.523-04:00,2025-01-29T09:00:00.000-05:00,2024-07-29T09:00:00.000-04:00
Seed Oil Scout,https://app.joinhandshake.com/jobs/9232504,,,Part-Time,Data Science Intern,2024-08-26T09:01:35.072-04:00,2025-02-26T06:00:00.000-05:00,2024-08-26T06:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/8984736,Texas,Plano,Full-Time,Power Bi developer,2024-05-17T14:50:32.906-04:00,2024-11-17T09:00:00.000-05:00,2024-05-17T09:00:00.000-04:00
Bmore Studio,https://app.joinhandshake.com/jobs/9261056,Maryland,Baltimore,Full-Time,TikTok Operations Intern,2024-09-03T16:12:32.930-04:00,2025-03-03T06:00:00.000-05:00,2024-09-03T06:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9084476,New York,New York,Full-Time,"Software Engineer, Internship - NY",2024-07-01T20:39:00.145-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8878971,,,Part-Time,AI Software Developer,2024-04-10T17:17:23.368-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
think-cell Software GmbH,https://app.joinhandshake.com/jobs/9288251,,Berlin,Full-Time,C++ Developer (f/m/d),2024-09-11T04:22:15.635-04:00,2025-09-10T23:00:00.000-04:00,2024-09-11T00:00:00.000-04:00
"CyberVillage Networkers, Inc.",https://app.joinhandshake.com/jobs/9233489,Maryland,Ellicott City,Full-Time,Project Manager,2024-08-26T11:28:27.323-04:00,2025-02-26T06:00:00.000-05:00,2024-08-26T06:00:00.000-04:00
Tanbii,https://app.joinhandshake.com/jobs/8982696,,,Part-Time,Eco-Gaming Developer Intern,2024-05-16T19:45:01.065-04:00,2024-11-16T09:00:00.000-05:00,2024-05-16T09:00:00.000-04:00
Salesforce,https://app.joinhandshake.com/jobs/9296679,California,San Francisco,Full-Time,Security Systems Engineer,2024-09-12T14:46:47.857-04:00,2024-10-18T09:00:00.000-04:00,2024-09-12T09:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9083197,New York,New York,Full-Time,"Forward Deployed Software Engineer, New Grad - NY",2024-07-01T14:56:55.813-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
